"Assigned Role","Quadrant 1","Quadrant 2"
"Instructional Designer","Influencing","Executing"
"Application Support Engineer","Influencing","Relationship Building"
"Application Lead","Influencing","Strategic Thinking"
"Security Architect","Influencing","Relationship Building"
"Test Automation Engineer","Strategic Thinking","Influencing"
"Business Operations - PMO Lead","Executing","Influencing"
"Business Analyst","Strategic Thinking","Relationship Building"
"Security Specialist","Executing","Influencing"
"Application Developer","Influencing","Executing"
"Application Designer","Executing","Influencing"
"XD Application Developer","Influencing","Strategic Thinking"
"Training and Performance Support Lead","Executing","Influencing"
"Web Developer","Executing","Strategic Thinking"
"Business and Integration Architect","Influencing","Strategic Thinking"
"SW/Application Tech Support Practitioner","Executing","Strategic Thinking"
"Communications Lead","Executing","Relationship Building"
"Infrastructure Technical Specialist","Strategic Thinking","Influencing"
"Security Consulting Lead","Strategic Thinking","Executing"
"Training & Performance Support Developer","Relationship Building","Influencing"
"Business Process Designer","Relationship Building","Executing"
"Transformation/Journey Lead","Relationship Building","Executing"
"IT Operations Practitioner","Executing","Relationship Building"
"Security Consulting Practitioner","Strategic Thinking","Relationship Building"
"Infrastructure Consulting Lead","Influencing","Relationship Building"
"Visual Designer","Relationship Building","Influencing"
"Tester","Influencing","Relationship Building"
"Technical Architect","Strategic Thinking","Executing"
"Business and Integration Practitioner","Relationship Building","Strategic Thinking"
"Digital Technical Architect","Strategic Thinking","Relationship Building"
"Business Operations - PMO Practitioner","Relationship Building","Influencing"
"Analytics Practitioner","Influencing","Executing"
"Program/Project Manager","Executing","Strategic Thinking"
"Sourcing Practitioner","Strategic Thinking","Executing"
"Technology Consulting Practitioner (TC)","Strategic Thinking","Relationship Building"
"Application Integration Architect","Influencing","Relationship Building"
"Application Automation Engineer","Relationship Building","Executing"
"Analytics Advisory Lead","Relationship Building","Influencing"
"User Experience Architect","Executing","Strategic Thinking"
"Change Practitioner","Strategic Thinking","Executing"
"Cloud Operations Administrator","Strategic Thinking","Executing"
"Business Transformation Practitioner","Strategic Thinking","Influencing"
"Advanced Application Engineer","Strategic Thinking","Executing"
"Service Manager","Influencing","Relationship Building"
"Service Delivery Practitioner","Executing","Strategic Thinking"
"Cloud Solution Architect","Relationship Building","Influencing"
"Cloud Operations Engineer","Relationship Building","Executing"
"Application Architect","Influencing","Executing"
"Functional & Ind Analytics Practitioner","Influencing","Relationship Building"
"Solution Delivery Planning Practitioner","Strategic Thinking","Influencing"
"Delivery Lead","Executing","Influencing"
"Change Lead","Influencing","Relationship Building"
"Business Strategy Architect","Relationship Building","Executing"
"Client Management Practitioner","Influencing","Executing"
"Infrastructure Technical Architect","Strategic Thinking","Relationship Building"
"Industry Subject Matter Advisor","Strategic Thinking","Executing"
"Human Performance Architect","Influencing","Executing"
"Organization Design Lead","Relationship Building","Influencing"
"Client Service Delivery Lead","Influencing","Executing"
"Sales Practitioner","Relationship Building","Strategic Thinking"
"Data Architect","Relationship Building","Influencing"
"Service Delivery Operations Lead","Influencing","Executing"
"Technology OpS Support Practitioner","Executing","Strategic Thinking"
"Software Implementation Tech Architect","Influencing","Executing"
"Application Security Architect","Executing","Relationship Building"
"Test Lead","Relationship Building","Influencing"
"Infrastructure Consulting Practitioner","Influencing","Executing"
"Business Function Designer","Relationship Building","Influencing"
"User Experience Engineer","Strategic Thinking","Executing"
"Technology Solution Planning Lead","Strategic Thinking","Relationship Building"
"Business Architect","Influencing","Relationship Building"
"Digital Marketing Practitioner","Strategic Thinking","Relationship Building"
"Full-Stack Developer","Relationship Building","Executing"
"Application Security Supp Practitioner","Influencing","Executing"
"Business Strategy Analyst","Executing","Influencing"
"Industry&Market Innovation Practitioner","Influencing","Relationship Building"
"Back-End Developer","Relationship Building","Executing"
"Business Process Architect","Strategic Thinking","Influencing"
"Data Management Practitioner","Relationship Building","Strategic Thinking"
"Business Advisor","Strategic Thinking","Executing"
"Digital Strategist","Executing","Influencing"
"Database Administrator","Influencing","Relationship Building"
"Cloud Security Practitioner","Relationship Building","Executing"
"Procurement Practice Practitioner","Influencing","Strategic Thinking"
"Infra Tech Support Practitioner","Executing","Influencing"
"Configuration Designer","Strategic Thinking","Executing"
"Infra Implementation Svcs Practitioner","Strategic Thinking","Relationship Building"
"Dev & Ops Architect","Influencing","Relationship Building"
"Test Architect","Relationship Building","Executing"
"Infra Implementation Svcs Lead","Strategic Thinking","Relationship Building"
"Software Product Business Architect","Strategic Thinking","Executing"
"Security Implement Svcs Practitioner","Strategic Thinking","Relationship Building"
"Interaction Designer","Relationship Building","Influencing"
"Network Operations Practitioner","Relationship Building","Executing"
"Content Management Advisor","Executing","Strategic Thinking"
"Procurement Operations Advisor","Strategic Thinking","Influencing"
"Sourcing Execution Practitioner","Strategic Thinking","Executing"
"Product Owner","Relationship Building","Executing"
"Workplace Mgmt & Solutions Practitioner","Executing","Strategic Thinking"
"System Development Practitioner","Influencing","Executing"
"Software Development Ops Representative","Executing","Strategic Thinking"
"IT Service Management Coordinator","Relationship Building","Influencing"
"Technology Delivery Lead","Relationship Building","Strategic Thinking"
"Solution Architecture Practitioner","Influencing","Strategic Thinking"
"Software Product Development Lead","Strategic Thinking","Executing"
"Client Data Protection Architect","Influencing","Executing"
"Enterprise Arch & App Strategist","Relationship Building","Strategic Thinking"
"Design Leadership Practitioner","Relationship Building","Executing"
"Strategic Program & Ops Practitioner","Executing","Relationship Building"
"Cloud Advisory","Relationship Building","Strategic Thinking"
"Scrum Master","Influencing","Strategic Thinking"
"Tech Delivery Subject Matter Expert","Influencing","Relationship Building"
"Deployment Lead","Relationship Building","Strategic Thinking"
"Software Implementation Bus Practitioner","Relationship Building","Executing"
"Data Science Practitioner","Relationship Building","Influencing"
"Functional Data Integration Practitioner","Executing","Influencing"
"IT Operations Architect","Executing","Strategic Thinking"
"Front-End Developer","Executing","Relationship Building"
"Infrastructure Monitoring Practitioner","Strategic Thinking","Executing"
"Test Automation Lead","Relationship Building","Strategic Thinking"
"Cloud Migration &Implementation Delivery","Relationship Building","Executing"
"Technology Advisory Practitioner (TC)","Strategic Thinking","Relationship Building"
"Technology Solution Planner","Influencing","Relationship Building"
"Business Function Implementation Lead","Influencing","Strategic Thinking"
"Platform Database Administrator","Strategic Thinking","Influencing"
"Measurement & Reporting Practitioner","Relationship Building","Influencing"
"Service Management Practitioner","Executing","Influencing"
"User Experience Lead","Relationship Building","Executing"
